Country Name,Code,Year,CO2 per capita
India,IND,1980,0.424402
India,IND,1981,0.44759268
India,IND,1982,0.45172426
India,IND,1983,0.47764838
India,IND,1984,0.4789781
India,IND,1985,0.51459557
India,IND,1986,0.5391722
India,IND,1987,0.562909
India,IND,1988,0.59431225
India,IND,1989,0.63905036
India,IND,1990,0.668214
India,IND,1991,0.69619745
India,IND,1992,0.72586346
India,IND,1993,0.7344633
India,IND,1994,0.7586807
India,IND,1995,0.7919185
India,IND,1996,0.8406862
India,IND,1997,0.8587196
India,IND,1998,0.8597363
India,IND,1999,0.92580426
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
Malawi,MWI,1980,0.11333057
Malawi,MWI,1981,0.09266549
Malawi,MWI,1982,0.08749094
Malawi,MWI,1983,0.0814746
Malawi,MWI,1984,0.07584854
Malawi,MWI,1985,0.07300182
Malawi,MWI,1986,0.06987365
Malawi,MWI,1987,0.06572816
Malawi,MWI,1988,0.061861146
Malawi,MWI,1989,0.06139247
Malawi,MWI,1990,0.0771964
Malawi,MWI,1991,0.07998139
Malawi,MWI,1992,0.07765985
Malawi,MWI,1993,0.08543113
Malawi,MWI,1994,0.08871215
Malawi,MWI,1995,0.08897331
Malawi,MWI,1996,0.08882437
Malawi,MWI,1997,0.08693609
Malawi,MWI,1998,0.08355085
Malawi,MWI,1999,0.08085438
Malawi,MWI,2000,0.075467125
Malawi,MWI,2001,0.067047715
Malawi,MWI,2002,0.07207096
Malawi,MWI,2003,0.07509989
Malawi,MWI,2004,0.072129995
Malawi,MWI,2005,0.06583464
Malawi,MWI,2006,0.064500906
Malawi,MWI,2007,0.067704454
Malawi,MWI,2008,0.07145645
Malawi,MWI,2009,0.07068769
Malawi,MWI,2010,0.06556937
Malawi,MWI,2011,0.067726314
Malawi,MWI,2012,0.06624946
Malawi,MWI,2013,0.06931331
Malawi,MWI,2014,0.06107204
Malawi,MWI,2015,0.061449982
Malawi,MWI,2016,0.066776246
Malawi,MWI,2017,0.0661337
Malawi,MWI,2018,0.09121552
Malawi,MWI,2019,0.0891084
Malawi,MWI,2020,0.09563126
Malawi,MWI,2021,0.08392642
Malawi,MWI,2022,0.08757896
Malawi,MWI,2023,0.087780796
Malawi,MWI,2024,0.08688312
United Kingdom,GBR,1980,10.288156
United Kingdom,GBR,1981,9.955621
United Kingdom,GBR,1982,9.738896
United Kingdom,GBR,1983,9.683191
United Kingdom,GBR,1984,9.372629
United Kingdom,GBR,1985,9.886416
United Kingdom,GBR,1986,10.018491
United Kingdom,GBR,1987,10.049029
United Kingdom,GBR,1988,10.000239
United Kingdom,GBR,1989,10.170335
United Kingdom,GBR,1990,10.4927225
United Kingdom,GBR,1991,10.588317
United Kingdom,GBR,1992,10.288521
United Kingdom,GBR,1993,10.017321
United Kingdom,GBR,1994,9.896297
United Kingdom,GBR,1995,9.735405
United Kingdom,GBR,1996,10.0647545
United Kingdom,GBR,1997,9.62765
United Kingdom,GBR,1998,9.697672
United Kingdom,GBR,1999,9.545588
United Kingdom,GBR,2000,9.635275
United Kingdom,GBR,2001,9.748509
United Kingdom,GBR,2002,9.40991
United Kingdom,GBR,2003,9.555585
United Kingdom,GBR,2004,9.530167
United Kingdom,GBR,2005,9.412128
United Kingdom,GBR,2006,9.301154
United Kingdom,GBR,2007,9.09334
United Kingdom,GBR,2008,8.785364
United Kingdom,GBR,2009,7.9049363
United Kingdom,GBR,2010,8.124634
United Kingdom,GBR,2011,7.3959785
United Kingdom,GBR,2012,7.62153
United Kingdom,GBR,2013,7.4175463
United Kingdom,GBR,2014,6.764833
