Entity,Code,Year,Annual CO₂ emissions (per capita)
India,IND,1946,0.14425123
India,IND,1947,0.14798945
India,IND,1948,0.14916411
India,IND,1949,0.15787567
India,IND,1950,0.17599274
India,IND,1951,0.18030834
India,IND,1952,0.18583614
India,IND,1953,0.18537368
India,IND,1954,0.19094001
India,IND,1955,0.20297568
India,IND,1956,0.20559466
India,IND,1957,0.22551806
India,IND,1958,0.23041473
India,IND,1959,0.23823537
India,IND,1960,0.25532722
India,IND,1961,0.26961234
India,IND,1962,0.2899293
India,IND,1963,0.30426666
India,IND,1964,0.29105714
India,IND,1965,0.31357706
India,IND,1966,0.31827164
India,IND,1967,0.31187475
India,IND,1968,0.33301112
India,IND,1969,0.33230522
India,IND,1970,0.33291033
India,IND,1971,0.34396365
India,IND,1972,0.35590428
India,IND,1973,0.35836908
India,IND,1974,0.3615395
India,IND,1975,0.38312787
India,IND,1976,0.39106047
India,IND,1977,0.40412238
India,IND,1978,0.40130946
India,IND,1979,0.41165555
India,IND,1980,0.424402
India,IND,1981,0.44759268
India,IND,1982,0.45172426
India,IND,1983,0.47764838
India,IND,1984,0.4789781
India,IND,1985,0.51459557
India,IND,1986,0.5391722
India,IND,1987,0.562909
India,IND,1988,0.59431225
India,IND,1989,0.63905036
India,IND,1990,0.668214
India,IND,1991,0.69619745
India,IND,1992,0.72586346
India,IND,1993,0.7344633
India,IND,1994,0.7586807
India,IND,1995,0.7919185
India,IND,1996,0.8406862
India,IND,1997,0.8587196
India,IND,1998,0.8597363
India,IND,1999,0.92580426
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
Malawi,MWI,1950,0.079500414
Malawi,MWI,1951,0.08612848
Malawi,MWI,1952,0.095092736
Malawi,MWI,1953,0.10165451
Malawi,MWI,1954,0.109579355
Malawi,MWI,1955,0.12663932
Malawi,MWI,1956,0.13519806
Malawi,MWI,1957,0.1361844
Malawi,MWI,1958,0.11897151
Malawi,MWI,1959,0.12971765
Malawi,MWI,1960,0.12081879
Malawi,MWI,1961,0.10047468
Malawi,MWI,1962,0.0947411
Malawi,MWI,1963,0.08888703
Malawi,MWI,1964,0.08246573
Malawi,MWI,1965,0.08494814
Malawi,MWI,1966,0.10207652
Malawi,MWI,1967,0.085108176
Malawi,MWI,1968,0.08799437
Malawi,MWI,1969,0.08421599
Malawi,MWI,1970,0.09798748
Malawi,MWI,1971,0.10558313
Malawi,MWI,1972,0.111924164
Malawi,MWI,1973,0.11413318
Malawi,MWI,1974,0.10679896
Malawi,MWI,1975,0.10936853
Malawi,MWI,1976,0.10691664
Malawi,MWI,1977,0.11342116
Malawi,MWI,1978,0.11526995
Malawi,MWI,1979,0.10561427
Malawi,MWI,1980,0.11333057
Malawi,MWI,1981,0.09266549
Malawi,MWI,1982,0.08749094
Malawi,MWI,1983,0.0814746
Malawi,MWI,1984,0.07584854
Malawi,MWI,1985,0.07300182
Malawi,MWI,1986,0.06987365
Malawi,MWI,1987,0.06572816
Malawi,MWI,1988,0.061861146
Malawi,MWI,1989,0.06139247
Malawi,MWI,1990,0.0771964
Malawi,MWI,1991,0.07998139
Malawi,MWI,1992,0.07765985
Malawi,MWI,1993,0.08543113
Malawi,MWI,1994,0.08871215
Malawi,MWI,1995,0.08897331
Malawi,MWI,1996,0.08882437
Malawi,MWI,1997,0.08693609
Malawi,MWI,1998,0.08355085
Malawi,MWI,1999,0.08085438
Malawi,MWI,2000,0.075467125
Malawi,MWI,2001,0.067047715
