Country Name,Year,GDP
India,1980,186328579302.068
India,1981,193491368445.573
India,1982,200715624830.902
India,1983,218262146413.158
India,1984,212157645177.652
India,1985,232511554840.372
India,1986,248985994040.59
India,1987,279033584092.223
India,1988,296589670895.932
India,1989,296042052944.66
India,1990,320979026420.035
India,1991,270105341879.226
India,1992,288208070278.013
India,1993,279295648982.529
India,1994,327274843459.429
India,1995,360281909643.489
India,1996,392896866204.516
India,1997,415867563592.829
India,1998,421351317224.941
India,1999,458821052615.79
India,2000,468395521654.458
India,2001,485440139204.171
India,2002,514939140318.756
India,2003,607700687237.318
India,2004,709152728830.775
India,2005,820383763511.445
India,2006,940259888787.721
India,2007,1216736438834.96
India,2008,1198895139005.92
India,2009,1341888016994.9
India,2010,1675615519484.96
India,2011,1823051829894.55
India,2012,1827637590410.41
India,2013,1856721507621.58
India,2014,2039126479154.52
India,2015,2103588360044.94
India,2016,2294796885663.16
India,2017,2651474262755.45
India,2018,2702929641648.74
India,2019,2835606256558.19
India,2020,2674851578587.27
India,2021,3167270623260.47
India,2022,3346107287730.93
India,2023,3638489096033.86
India,2024,3909891533858.08
Malawi,1980,1801156774.56852
Malawi,1981,1801193909.52073
Malawi,1982,1717379494.63245
Malawi,1983,1780148049.43635
Malawi,1984,1758028656.12928
Malawi,1985,1646442272.89094
Malawi,1986,1722586299.409
Malawi,1987,1721711808.48111
Malawi,1988,2008189508.37875
Malawi,1989,2314205129.58032
Malawi,1990,2737087861.62245
Malawi,1991,3206783830.41779
Malawi,1992,2618837835.02508
Malawi,1993,3013392657.99911
Malawi,1994,1719864761.30628
Malawi,1995,2033701497.97085
Malawi,1996,3319573749.6119
Malawi,1997,3875785863.38323
Malawi,1998,2547609590.06984
Malawi,1999,2584478924.06081
Malawi,2000,2537307580.32808
Malawi,2001,2498008664.6691
Malawi,2002,5087328437.8737
Malawi,2003,4669789300.35662
Malawi,2004,5058726350.48896
Malawi,2005,5320409651.47544
Malawi,2006,5818279739.14354
Malawi,2007,6451210219.11683
Malawi,2008,7743617352.21427
Malawi,2009,9009887946.82039
Malawi,2010,10128323010.6049
Malawi,2011,11648142958.3651
Malawi,2012,8773203178.16512
Malawi,2013,8031571927.62055
Malawi,2014,8801326169.14547
Malawi,2015,9219474379.31534
Malawi,2016,7909868618.46366
Malawi,2017,8943543793.5839
Malawi,2018,9879220354.29186
Malawi,2019,11051852712.6142
Malawi,2020,11769313597.8545
Malawi,2021,12378119199.0839
Malawi,2022,12429059928.102
Malawi,2023,13363669672.9405
Malawi,2024,11316411329.4619
United Kingdom,1980,564947710899.373
United Kingdom,1981,540765675241.158
United Kingdom,1982,515048916841.37
United Kingdom,1983,489618008185.539
United Kingdom,1984,461487097632.349
United Kingdom,1985,489285164271.047
United Kingdom,1986,601452653180.885
United Kingdom,1987,745162608269.325
United Kingdom,1988,910122732123.799
United Kingdom,1989,926884816753.927
United Kingdom,1990,1093169389204.55
United Kingdom,1991,1142797178130.51
United Kingdom,1992,1179659529659.53
United Kingdom,1993,1061388722255.55
United Kingdom,1994,1140489745944.29
United Kingdom,1995,1349094208616.06
United Kingdom,1996,1425287051482.06
United Kingdom,1997,1569317288801.57
United Kingdom,1998,1660821464060.95
United Kingdom,1999,1693458987218.9
United Kingdom,2000,1671597821152.97
United Kingdom,2001,1656171009068.66
United Kingdom,2002,1790536570743.41
United Kingdom,2003,2061227755102.04
United Kingdom,2004,2429774807762.72
United Kingdom,2005,2551361818181.82
United Kingdom,2006,2719558417663.29
United Kingdom,2007,3104699879951.98
United Kingdom,2008,2945251838235.29
United Kingdom,2009,2429358155475.93
United Kingdom,2010,2496740681057.14
United Kingdom,2011,2675590034128.66
United Kingdom,2012,2719715961539.83
United Kingdom,2013,2796908333283.39
United Kingdom,2014,3085362169410.29
United Kingdom,2015,2945579890258.46
United Kingdom,2016,2706807606538.73
United Kingdom,2017,2699118387873.1
United Kingdom,2018,2897028009916.05
United Kingdom,2019,2875710080015.3
United Kingdom,2020,2724001478304.59
United Kingdom,2021,3194559188925.93
United Kingdom,2022,3181244350465.41
United Kingdom,2023,3420796653789.08
United Kingdom,2024,3686033044482.13
World,1980,11452768541637.6
World,1981,11843441094928.7
World,1982,11719276657617.9
World,1983,11962974794875.2
World,1984,12427957579028.0
World,1985,13016982447733.2
World,1986,15348439146362.6
World,1987,17472239624529.0
World,1988,19524821807843.9
World,1989,20395813960211.0
World,1990,22922751084575.0
World,1991,23920903881560.9
World,1992,25546959069356.8
World,1993,25974923485795.5
World,1994,27961448359307.6
World,1995,31245419629026.0
World,1996,31968950237590.7
World,1997,31870560107975.7
World,1998,31733749169046.7
World,1999,32782827769545.3
World,2000,33898156427205.9
World,2001,33690417699612.7
World,2002,34991525564916.9
World,2003,39243276986261.9
World,2004,44225384449869.8
World,2005,47900489808168.9
World,2006,51923507284496.0
World,2007,58525785801185.8
World,2008,64311729364641.3
World,2009,60982255960004.4
World,2010,66811191491614.9
World,2011,74309709353789.2
World,2012,75960594595757.0
World,2013,78034892841179.2
World,2014,80054888775431.1
World,2015,75621913961646.2
World,2016,76831684012526.2
World,2017,81839102917044.7
World,2018,87050964956078.4
World,2019,88483262418196.6
World,2020,85912761035231.2
World,2021,98140475264975.9
World,2022,102251524725531.0
World,2023,106741647821064.0
World,2024,110982661180013.0
